       ALABAMA
        Lansing AP                42? 47' N     84? 36' W
        Marquette Co              46? 34' N     87? 24' W
        Mt Pleasant               43? 35' N     84? 46' W
        Muskegon AP               43? 10' N     86? 14' W
        Pontiac                   42? 40' N     83? 25' W
        Port Huron                42? 59' N     82? 25' W
        Saginaw AP                43? 32' N     84? 5' W
        Sault Ste.  Marie AP (S)  46? 28' N     84? 22' W
        Traverse City AP          44? 45' N     85? 35' W
        Ypsilanti                 42? 14' N     83? 32' W
       MINNESOTA
        Albert Lea                43? 39' N     93? 21' W
        Alexandria AP             45? 52' N     95? 23' W
        Bemidji AP                47? 31' N     94? 56' W
        Brainerd                  46? 24' N     94? 8' W
        Duluth AP                 46? 50' N     92? 11' W
        Fairbault                 44? 18' N     93? 16' W
        Fergus Falls              46? 16' N     96? 4' W
        International Falls AP    48? 34' N     93? 23' W
        Mankato                   44? 9' N      93? 59' W
        Minneapolis/St. Paul AP   44? 53' N     93? 13' W
        Rochester AP              43? 55' N     92? 30' W
        St.  Cloud AP (S)         45? 35' N     94? 11' W
        Virginia                  47? 30' N     92? 33' W
        Willmar                   45? 7' N      95? 5' W
        Winona                    44? 3' N      91? 38' W
       MISSISSIPPI
        Biloxi--Keesler AFB       30? 25' N     88? 55' W
        Clarksdale                34? 12' N     90? 34' W
        Columbus AFB              33? 39' N     88? 27' W
        Greenville AFB            33? 29' N     90? 59' W
        Greenwood                 33? 30' N     90? 5' W
        Hattiesburg               31? 16' N     89? 15' W
        Jackson AP                32? 19' N     90? 5' W
        Laurel                    31? 40' N     89? 10' W
        Mccomb AP                 31? 15' N     90? 28' W
        Meridian AP               32? 20' N     88? 45' W
        Natchez                   31? 33' N     91? 23' W
        Tupelo                    34? 16' N     88? 46' W
        Vicksburg Co              32? 24' N     90? 47' W
       MISSOURI
        Cape Girardeau            37? 14' N     89? 35' W
        Columbia AP (S)           38? 58' N     92? 22' W
        Farmington AP             37? 46' N     90? 24' W
        Hannibal                  39? 42' N     91? 21' W
        Jefferson City            38? 34' N     92? 11' W
        Joplin AP                 37? 9' N      94? 30' W
        Kansas City AP            39? 7' N      94? 35' W
        Kirksville AP             40? 6' N      92? 33' W
        Mexico                    39? 11' N     91? 54' W
        Moberly                   39? 24' N     92? 26' W
        Poplar Bluff              36? 46' N     90? 25' W
        Rolla                     37? 59' N     91? 43' W
        St. Joseph AP             39? 46' N     94? 55' W
        St. Louis AP              38? 45' N     90? 23' W
        St. Louis CO              38? 39' N     90? 38' W
        Sikeston                  36? 53' N     89? 36' W
        Sedalia--Whiteman AFB     38? 43' N     93? 33' W
        Sikeston                  36? 53' N     89? 36' W
        Springfield AP            37? 14' N     93? 23' W
       MONTANA
        Billings AP               45? 48' N    108? 32' W
        Bozeman                   45? 47' N    111? 9' W
        Butte AP                  45? 57' N    112? 30' W
        Cut Bank AP               48? 37' N    112? 22' W
        Glasgow AP (S)            48? 25' N    106? 32' W
        Glendive                  47? 8' N     104? 48' W
        Great Falls AP (S)        47? 29' N    111? 22' W
        Havre                     48? 34' N    109? 40' W
        Helena AP                 46? 36' N    112? 0' W
        Kalispell AP              48? 18' N    114? 16' W
        Lewiston AP               47? 4' N     109? 27' W
        Livingstown AP            45? 42' N    110? 26' W
        Miles City AP             46? 26' N    105? 52' W
        Missoula AP               46? 55' N    114? 5' W
       NEBRASKA
        Beatrice                  40? 16' N     96? 45' W
        Chadron AP                42? 50' N    103? 5' W
        Columbus                  41? 28' N     97? 20' W
        Fremont                   41? 26' N     96? 29' W
        Grand Island AP           40? 59' N     98? 19' W
        Hastings                  40? 36' N     98? 26' W
        Kearney                   40? 44' N     99? 1' W
        Lincoln Co (S)            40? 51' N     96? 45' W
        McCook                    40? 12' N    100? 38' W
        Norfolk                   41? 59' N     97? 26' W
        North Platte AP (S)       41? 8' N     100? 41' W
        Omaha AP                  41? 18' N     95? 54' W
        Scottsbluff AP            41? 52' N    103? 36' W
        Sidney AP                 41? 13' N    103? 6' W
       NEVADA
        Carson City               39? 10' N    119? 46' W
        Elko AP                   40? 50' N    115? 47' W
        Ely AP (S)                39? 17' N    114? 51' W
        Las Vegas AP (S)          36? 5' N     115? 10' W
        Lovelock AP               40? 4' N     118? 33' W
        Reno AP (S)               39? 30' N    119? 47' W
        Reno Co                   39? 30' N    119? 47' W
        Tonopah AP                38? 4' N     117? 5' W
        Winnemucca AP             40? 54' N    117? 48' W
       NEW HAMPSHIRE
        Berlin                    44? 3' N      71? 1' W
        Claremont                 43? 2' N      72? 2' W
        Concord AP                43? 12' N     71? 30' W
        Keene                     42? 55' N     72? 17' W
        Laconia                   43? 3' N      71? 3' W
        Manchester, Grenier AFB   42? 56' N     71? 26' W
        Portsmouth, Pease AFB     43? 4' N      70? 49' W
       NEW JERSEY
        Atlantic City CO          39? 23' N     74? 26' W
        Long Branch               40? 19' N     74? 1' W
        Newark AP                 40? 42' N     74? 10' W
        New Brunswick             40? 29' N     74? 26' W
        Paterson                  40? 54' N     74? 9' W
        Phillipsburg              40? 41' N     75? 11' W
        Trenton Co                40? 13' N     74? 46' W
        Vineland                  39? 29' N     75? 0' W
       NEW MEXICO
        Alamagordo?
        Holloman AFB              32? 51' N    106? 6' W
        Albuquerque AP (S)        35? 3' N     106? 37' W
        Artesia                   32? 46' N    104? 23' W
        Carlsbad AP               32? 20' N    104? 16' W
        Clovis AP                 34? 23' N    103? 19' W
        Farmington AP             36? 44' N    108? 14' W
        Gallup                    35? 31' N    108? 47' W
        Grants                    35? 10' N    107? 54' W
        Hobbs AP                  32? 45' N    103? 13' W
        Las Cruces                32? 18' N    106? 55' W
        Los Alamos                35? 52' N    106? 19' W
        Raton AP                  36? 45' N    104? 30' W
        Roswell, Walker AFB       33? 18' N    104? 32' W
        Santa Fe CO               35? 37' N    106? 5' W
        Silver City AP            32? 38' N    108? 10' W
        Socorro AP                34? 3' N     106? 53' W
        Tucumcari AP              35? 11' N    103? 36' W
       NEW YORK
        Albany AP (S)             42? 45' N     73? 48' W
        Albany Co                 42? 39' N     73? 45' W
        Auburn                    42? 54' N     76? 32' W
        Batavia                   43? 0' N      78? 11' W
        Binghamton AP             42? 13' N     75? 59' W
        Buffalo AP                42? 56' N     78? 44' W
        Cortland                  42? 36' N     76? 11' W
        Dunkirk                   42? 29' N     79? 16' W
        Elmira AP                 42? 10' N     76? 54' W
        Geneva (S)                42? 45' N     76? 54' W
        Glens Falls               43? 20' N     73? 37' W
        Gloversville              43? 2' N      74? 21' W
        Hornell                   42? 21' N     77? 42' W
        Ithaca (S)                42? 27' N     76? 29' W
        Jamestown                 42? 7' N      79? 14' W
        Kingston                  41? 56' N     74? 0' W
        Lockport                  43? 9' N      79? 15' W
        Massena AP                44? 56' N     74? 51' W
        Newburgh, Stewart AFB     41? 30' N     74? 6' W
        NYC-Central Park (S)      40? 47' N     73? 58' W
        NYC-Kennedy AP            40? 39' N     73? 47' W
        NYC-La Guardia AP         40? 46' N     73? 54' W
        Niagara Falls AP          43? 6' N      79? 57' W
        Olean                     42? 14' N     78? 22' W
        Oneonta                   42? 31' N     75? 4' W
        Oswego Co                 43? 28' N     76? 33' W
        Plattsburg AFB            44? 39' N     73? 28' W
        Poughkeepsie              41? 38' N     73? 55' W
        Rochester AP              43? 7' N      77? 40' W
        Rome, Griffiss AFB        43? 14' N     75? 25' W
        Schenectady (S)           42? 51' N     73? 57' W
        Suffolk County AFB        40? 51' N     72? 38' W
        Syracuse AP               43? 7' N      76? 7' W
        Utica                     43? 9' N      75? 23' W
        Watertown                 43? 59' N     76? 1' W
       NORTH CAROLINA
        Asheville AP              35? 26' N     82? 32' W
        Charlotte AP              35? 13' N     80? 56' W
        Durham                    35? 52' N     78? 47' W
        Elizabeth City AP         36? 16' N     76? 11' W
        Fayetteville, Pope AFB    35? 10' N     79? 1' W
        Goldsboro,Seymour-Johnson 35? 20' N     77? 58' W
        Greensboro AP (S)         36? 5' N      79? 57' W
        Greenville                35? 37' N     77? 25' W
        Henderson                 36? 22' N     78? 25' W
        Hickory                   35? 45' N     81? 23' W
        Jacksonville              34? 50' N     77? 37' W
        Lumberton                 34? 37' N     79? 4' W
        New Bern AP               35? 5' N      77? 3' W
        Raleigh/Durham AP (S)     35? 52' N     78? 47' W
        Rocky Mount               35? 58' N     77? 48' W
        Wilmington AP             34? 16' N     77? 55' W
        Winston-Salem AP          36? 8' N      80? 13' W
       NORTH DAKOTA
        Bismarck AP (S)           46? 46' N    100? 45' W
        Devils Lake               48? 7' N      98? 54' W
        Dickinson AP              46? 48' N    102? 48' W
        Fargo AP                  46? 54' N     96? 48' W
        Grand Forks AP            47? 57' N     97? 24' W
        Jamestown AP              46? 55' N     98? 41' W
        Minot AP                  48? 25' N    101? 21' W
        Williston                 48? 9' N     103? 35' W
       OHIO
        Akron-Canton AP           40? 55' N     81? 26' W
        Ashtabula                 41? 51' N     80? 48' W
        Athens                    39? 20' N     82? 6' W
        Bowling Green             41? 23' N     83? 38' W
        Cambridge                 40? 4' N      81? 35' W
        Chillicothe               39? 21' N     83? 0' W
        Cincinnati Co             39? 9' N      84? 31' W
        Cleveland AP (S)          41? 24' N     81? 51' W
        Columbus AP (S)           40? 0' N      82? 53' W
        Dayton AP                 39? 54' N     84? 13' W
        Defiance                  41? 17' N     84? 23' W
        Findlay AP                41? 1' N      83? 40' W
        Fremont                   41? 20' N     83? 7' W
        Hamilton                  39? 24' N     84? 35' W
        Lancaster                 39? 44' N     82? 38' W
        Lima                      40? 42' N     84? 2' W
        Mansfield AP              40? 49' N     82? 31' W
        Marion                    40? 36' N     83? 10' W
        Middletown                39? 31' N     84? 25' W
        Newark                    40? 1' N      82? 28' W
        Norwalk                   41? 16' N     82? 37' W
        Portsmouth                38? 45' N     82? 55' W
        Sandusky Co               41? 27' N     82? 43' W
        Springfield               39? 50' N     83? 50' W
        Steubenville              40? 23' N     80? 38' W
        Toledo AP                 41? 36' N     83? 48' W
        Warren                    41? 20' N     80? 51' W
        Wooster                   40? 47' N     81? 55' W
        Youngstown AP             41? 16' N     80? 40' W
        Zanesville AP             39? 57' N     81? 54' W
       OKLAHOMA
        Ada                       34? 47' N     96? 41' W
        Altus AFB                 34? 39' N     99? 16' W
        Ardmore                   34? 18' N     97? 1' W
        Bartlesville              36? 45' N     96? 0' W
        Chickasha                 35? 3' N      97? 55' W
        Enid, Vance AFB           36? 21' N     97? 55' W
        Lawton AP                 34? 34' N     98? 25' W
        McAlester                 34? 50' N     95? 55' W
        Muskogee AP               35? 40' N     95? 22' W
        Norman                    35? 15' N     97? 29' W
        Oklahoma City AP (S)      35? 24' N     97? 36' W
        Ponca City                36? 44' N     97? 6' W
        Seminole                  35? 14' N     96? 40' W
        Stillwater (S)            36? 10' N     97? 5' W
        Tulsa AP                  36? 12' N     95? 54' W
        Woodward                  36? 36' N     99? 31' W
       OREGON
        Albany                    44? 38' N    123? 7' W
        Astoria AP (S)            46? 9' N     123? 53' W
        Baker AP                  44? 50' N    117? 49' W
        Bend                      44? 4' N     121? 19' W
        Corvallis (S)             44? 30' N    123? 17' W
        Eugene AP                 44? 7' N     123? 13' W
        Grants Pass               42? 26' N    123? 19' W
        Klamath Falls AP          42? 9' N     121? 44' W
        Medford AP (S)            42? 22' N    122? 52' W
        Pendleton AP              45? 41' N    118? 51' W
        Portland AP               45? 36' N    122? 36' W
        Portland Co               45? 32' N    122? 40' W
        Roseburg AP               43? 14' N    123? 22' W
        Salem AP                  44? 55' N    123? 1' W
        The Dalles                45? 36' N    121? 12' W
       PENNSYLVANIA
        Allentown AP              40? 39' N     75? 26' W
        Altoona Co                40? 18' N     78? 19' W
        Butler                    40? 52' N     79? 54' W
        Chambersburg              39? 56' N     77? 38' W
        Erie AP                   42? 5' N      80? 11' W
        Harrisburg AP             40? 12' N     76? 46' W
        Johnstown                 40? 19' N     78? 50' W
        Lancaster                 40? 7' N      76? 18' W
        Meadville                 41? 38' N     80? 10' W
        New Castle                41? 1' N      80? 22' W
        Philadelphia AP           39? 53' N     75? 15' W
        Pittsburgh AP             40? 30' N     80? 13' W
        Pittsburgh Co             40? 27' N     80? 0' W
        Reading Co                40? 20' N     75? 38' W
        Scranton/Wilkes-Barre     41? 20' N     75? 44' W
        State College (S)         40? 48' N     77? 52' W
        Sunbury                   40? 53' N     76? 46' W
        Uniontown                 39? 55' N     79? 43' W
        Warren                    41? 51' N     79? 8' W
        West Chester              39? 58' N     75? 38' W
        Williamsport AP           41? 15' N     76? 55' W
        York                      39? 55' N     76? 45' W
       RHODE ISLAND
        Newport (S)               41? 30' N     71? 20' W
        Providence AP             41? 44' N     71? 26' W
       SOUTH CAROLINA
        Anderson                  34? 30' N     82? 43' W
        Charleston AFB (S)        32? 54' N     80? 2' W
